modifier,location,condition,default_hotkey,command_id,comment,application,group
new,file,,Ctrl+N,`workbench.action.files.newUntitledFile`,New untitled text file,VS Code,File
open,file,,Ctrl+O,`workbench.action.files.openFile`,Open File...,VS Code,File
open,file,,Ctrl+O,`workbench.action.files.openFileFolder`,Open File or Folder (browse dialog),VS Code,File
open,folder,,Ctrl+K Ctrl+O,`workbench.action.files.openFolder`,Open Folder...,VS Code,File
,,,,`workbench.action.addRootFolder`,Add Folder to Workspace...,VS Code,File
,,,,`workbench.action.openWorkspace`,Open Workspace from File...,VS Code,File
,,,,`workbench.action.saveWorkspaceAs`,Save Workspace As...,VS Code,File
open,recent,,Ctrl+R,`workbench.action.openRecent`,Open Recent (files/folders/workspaces),VS Code,File
save,file,,Ctrl+S,`workbench.action.files.save`,Save,VS Code,File
save_as,file,,Ctrl+Shift+S,`workbench.action.files.saveAs`,Save As...,VS Code,File
,,,Ctrl+K S,`saveAll`,Save All open editors,VS Code,File
save,file,!Formatting,Ctrl+K Ctrl+Shift+S,`workbench.action.files.saveWithoutFormatting`,Save without running formatters,VS Code,File
undo,file,,,`workbench.action.files.revert`,Revert File to last saved state,VS Code,File
close,editor,,Ctrl+W / Ctrl+F4,`workbench.action.closeActiveEditor`,Close Editor,VS Code,File
close,editor,,Ctrl+K Ctrl+W,`workbench.action.closeAllEditors`,Close All Editors,VS Code,File
,,,Ctrl+K U,`workbench.action.closeUnmodifiedEditors`,Close Unmodified Editors,VS Code,File
,,,Ctrl+K W,`workbench.action.closeEditorsInGroup`,Close all editors in the active group,VS Code,File
,,,,`workbench.action.closeOtherEditors`,Close Other Editors in group,VS Code,File
,,,,`workbench.action.closeEditorsToTheRight`,Close Editors to the Right,VS Code,File
,,,Ctrl+K F,`workbench.action.closeFolder`,Close Folder,VS Code,File
,,,Ctrl+Shift+W / Alt+F4,`workbench.action.closeWindow`,Close Window,VS Code,File
,,,Ctrl+Shift+N,`workbench.action.newWindow`,Open a new empty window,VS Code,File
,,,Ctrl+Shift+T,`workbench.action.reopenClosedEditor`,Reopen Closed Editor,VS Code,File
copy,file,,Ctrl+K P,`workbench.action.files.copyPathOfActiveFile`,Copy Path of Active File,VS Code,File
,,,Ctrl+K R,`workbench.action.files.revealActiveFileInWindows`,Reveal Active File in Explorer/Finder,VS Code,File
,,,Ctrl+K D,`workbench.files.action.compareWithSaved`,Compare Active File with Saved,VS Code,File
,,,,`workbench.action.duplicateWorkspaceInNewWindow`,Duplicate As Workspace in New Window,VS Code,File
cut,clipboard,,Ctrl+X,`editor.action.clipboardCutAction`,Cut (cuts whole line if selection is empty),VS Code,Edit
copy,clipboard,,Ctrl+C,`editor.action.clipboardCopyAction`,Copy (copies whole line if selection is empty),VS Code,Edit
paste,clipboard,,Ctrl+V,`editor.action.clipboardPasteAction`,Paste,VS Code,Edit
copy,clipboard,,,`editor.action.clipboardCopyWithSyntaxHighlightingAction`,Copy With Syntax Highlighting (as HTML),VS Code,Edit
undo,,,Ctrl+Z,`undo`,Undo,VS Code,Edit
redo,,,Ctrl+Y / Ctrl+Shift+Z,`redo`,Redo,VS Code,Edit
undo,,,Ctrl+U,`cursorUndo`,Undo last cursor operation,VS Code,Edit
insert,line,,Ctrl+Enter,`editor.action.insertLineAfter`,Insert Line Below,VS Code,Edit
insert,line,,Ctrl+Shift+Enter,`editor.action.insertLineBefore`,Insert Line Above,VS Code,Edit
delete,line,,Ctrl+Shift+K,`editor.action.deleteLines`,Delete Line,VS Code,Edit
move,line,,Alt+Down,`editor.action.moveLinesDownAction`,Move Line Down,VS Code,Edit
move,line,,Alt+Up,`editor.action.moveLinesUpAction`,Move Line Up,VS Code,Edit
copy,line,,Shift+Alt+Down,`editor.action.copyLinesDownAction`,Copy Line Down,VS Code,Edit
copy,line,,Shift+Alt+Up,`editor.action.copyLinesUpAction`,Copy Line Up,VS Code,Edit
